container, start_temp, volume, watt, seconds, room_temp, ex30, ex60, ex90, ex120, ex150, ex180, in30, in60, in90, in120, in150, in180
"spuit_60ml", 10, 20, 360, 8, 21, 31.1, 30.7, 30.1, 30.2, 29.9, 29.9, 30, 30, 30, 30, 30, 29
"spuit_60ml", 10, 20, 360, 8, 21, 30.9, 31.8, 30.9, 29, 29.4, 29.1, 30, 31, 30, 29, 29, 29
"spuit_20ml", 10, 20, 360, 8, 21, 28.1, 27.6, 27.4, 27.2, 26.8, 26.9, 26, 27, 27, 27, 27, 27
"spuit_20ml", 10, 20, 360, 8, 21, 22.8, 22.8, 22.7, 22.5, 22.4, 22.3, 23, 23, 23, 22, 22, 22
"potje", 10, 20, 360, 8, 21, 31.6, 31.6, 31, 31, 30.8, 30.5, 31, 30, 30, 30, 29, 29
"potje", 10, 20, 360, 8, 21, 29.1, 28.8, 28.6, 28.4, 28.5, 28.2, 28, 28, 27, 27, 27, 27
"potje", 10, 20, 360, 8, 21, 31.5, 31.1, 31, 30.7, 30.6, 30.3, 30, 30, 29, 29, 29, 29
"potje", 9, 40, 360, 13, 21, 33.5, 33.1, 33.1, 32.8, 32.8, 32.5, 32, 32, 32, 32, 31, 31
"potje", 9, 40, 360, 13, 21, 32.7, 32.5, 32.5, 32.3, 32, 31.9, 32, 31, 31, 31, 31, 31
"potje", 9, 40, 360, 13, 21, 33.1, 32.9, 32.7, 32.6, 32.4, 32.4, 32, 32, 32, 31, 31, 31
"spuit_60ml", 9, 40, 360, 13, 21, 30.4, 30.5, 30.3, 30.4, 30.1, 30, 30, 29, 29, 29, 29, 29
"spuit_60ml", 9, 40, 360, 13, 21, 31.8, 31.6, 31.6, 31.2, 30.9, 31, 31, 30, 30, 30, 30, 30
"spuit_60ml", 14, 40, 360, 13, 21, 38.2, 38.2, 38.3, 38.2, 37.9, 37.7, 37, 37, 37, 36, 36, 36
"spuit_60ml", 10, 20, 360, 8, 21, 30.7, 30.6, 30.5, 30.2, 30.1, 29.9, 30, 30, 29, 29, 29, 29
"spuit_60ml", 10, 20, 360, 8, 21, 30.7, 30.6, 30.5, 30.2, 30.1, 29.9, 30, 30, 29, 29, 29, 29
