seconds,volume,start_temp,internal_temp,external_temp
8,5,6,25,23.4
8,10,9,21,19.5
9,5,7,30,28.8
9,10,8,24,23.7
10,5,6,38,35.4
10,10,9,28,28.1
10,15,9,19,19.2
11,5,7,34,36.2
11,10,7,26,25.8
11,15,7,18,18.3
11,20,9,21,20.2
12,5,6,42,41.5
12,10,9,28,29.1
12,15,9,21,19.5
12,20,9,24,24.1
13,10,8,28,28.7
13,15,8,23,22.9
13,20,7,22,20.9
14,10,9,26,24.9
14,15,9,21,18.5
14,20,9,22,21.5
15,10,8,34,32.3
15,15,9,27,26.4
15,20,9,20,18.5
16,15,9,24,22.0
16,20,9,24,23.4
17,15,7,35,35.3
17,20,7,30,30.4
18,15,7,38,37.6
18,20,7,33,32.5
