container, start_temp, volume, watt, seconds, room_temp, ex30, ex60, ex90, ex120, ex150, ex180, in30, in60, in90, in120, in150, in180
"spuit_60ml", 21, 30, 360, 8, 21, 34.5, 34.6, 34.7, 34.4, 34, 33.9, 35, 35, 34, 33, 33, 33
"spuit_60ml", 21, 40, 360, 8, 21, 32.3, 32.2, 31.9, 31.6, 31.3, 31, 31, 31, 31, 30, 30, 30
"spuit_60ml", 21, 50, 360, 11, 21, 37.3, 37.2, 37, 36.7, 36.4, 36.2, 37, 36, 36, 36, 36, 35
"spuit_60ml", 21, 60, 360, 12, 21, 37.2, 37.3, 36.9, 36.8, 36.3, 36.1, 36, 35, 35, 35, 34, 34
"spuit_20ml", 21, 10, 180, 5, 21, 35.5, 35.9, 35.5, 35.3, 35, 34.8, 35, 35, 35, 34, 34, 33
"spuit_20ml", 21, 15, 180, 7, 21, 34, 34.3, 34.2, 34, 33.8, 33.7, 34, 34, 34, 33, 33, 33
"spuit_20ml", 21, 20, 180, 8, 21, 33.2, 33.2, 33, 32.9, 32.5, 32.1, 32, 32, 32, 31, 31, 30
"spuit_10ml", 21, 3, 90, 7, 21, 35.6, 35.4, 35.1, 34.6, 33.9, 33.2, 35, 35, 34, 33, 32, 32
"spuit_10ml", 21, 5, 90, 8, 21, 37.2, 37.1, 36.9, 36.5, 36.1, 35.8, 35, 34, 34, 33, 33, 32
"spuit_10ml", 21, 7, 90, 8, 21, 33.5, 33.2, 33.3, 32.9, 32.6, 32.2, 32, 32, 31, 31, 30, 30
"spuit_60ml", 21, 30, 360, 10, 21, 41.2, 40.9, 40.8, 40.7, 39.9, 39.5, 39, 38, 38, 37, 37, 37
"spuit_60ml", 21, 40, 360, 15, 21, 48.1, 48.1, 47.7, 47.6, 46.3, 46.3, 45, 44, 44, 43, 43, 43
"spuit_60ml", 21, 50, 360, 15, 21, 49.1, 49.8, 49.7, 49, 48.5, 48.2, 47, 47, 46, 46, 46, 45
"spuit_60ml", 21, 60, 360, 15, 21, 45.1, 46.5, 46, 45.5, 45.2, 44.9, 43, 43, 42, 42, 42, 42
"spuit_20ml", 21, 10, 180, 7, 21, 45.8, 45.1, 44.8, 44.1, 43.6, 42.9, 43, 43, 42, 41, 41, 40
"spuit_20ml", 21, 15, 180, 9, 21, 39.4, 39, 38.5, 38.2, 37.8, 37.5, 37, 37, 36, 36, 35, 35
"spuit_20ml", 21, 20, 180, 12, 21, 46.6, 46.3, 45.7, 45.2, 44.6, 44.2, 43, 42, 41, 41, 40, 40
"spuit_10ml", 21, 3, 90, 8, 21, 39.4, 38.1, 38.3, 37.6, 37.3, 36.3, 39, 38, 38, 37, 36, 35
"spuit_10ml", 21, 5, 90, 10, 21, 41.5, 42.1, 41.6, 40.8, 40.6, 39.5, 41, 41, 40, 39, 39, 38
"spuit_10ml", 21, 7, 90, 11, 21, 49.2, 48.8, 47.8, 46.6, 46.1, 44.9, 45, 44, 43, 43, 42, 41
"potje", 21, 10, 90, 15, 21, 50.5, 49.4, 48.6, 46.2, 46, 45.4, 47, 45, 44, 43, 42, 42
"spuit_60ml", 21, 30, 360, 30, 21, 65.7, 65, 64.1, 62.7, 61.8, 61.1, 63, 62, 61, 60, 59, 58
