id,shift_id,shift_time,microwave,temp,volume,container,extra_info
1,1,11,good,31.7,70,grote papfles,
2,1,11,good,28.6,28,spuit 60ml,
3,1,11,good,30.5,50,spuit 60ml,
3,1,11,good,24.6,28,spuit 60ml,
4,1,11,good,38.7,50,spuit 60ml,
4,1,11,good,34.3,50,spuit 60ml,
5,1,11,good,24,40,spuit 60ml,
6,1,11,good,28.9,44,spuit 60ml,
6,1,11,good,27,40,spuit 60ml,
7,1,11,good,28.4,55,spuit 60ml,
7,1,11,good,34.2,37,spuit 60ml,
7,1,11,good,27.6,36,spuit 60ml,
8,1,11,good,22.1,35,spuit 60ml,
9,1,11,good,33.7,37,spuit 60ml,
10,1,11,good,14.5,5,speciaal potje,baby leren drinken
11,2,14,good,38.9,38,spuit 60ml,
12,2,14,good,29.8,70,grote papfles,
13,2,14,good,30.4,45,spuit 60ml,
13,2,14,good,32.1,40,spuit 60ml,
14,2,14,good,35.4,40,matige papfles,
15,2,14,good,34.2,50,spuit 60ml,
16,2,14,good,28.7,50,spuit 60ml,
17,2,14,good,26,42,spuit 60ml,
18,2,14,good,35.7,16,spuit 20ml,
19,2,14,good,15.5,5,spuit 20ml,sonde
20,3,17,good,32.3,60,spuit 60ml,volume niet zeker
21,3,17,good,29,60,spuit 60ml,volume niet zeker
22,3,17,good,29.1,60,spuit 60ml,volume niet zeker
23,3,17,good,40.8,55,spuit 60ml,
24,3,17,good,38.1,42,spuit 60ml,
25,3,17,good,41.2,55,spuit 60ml,
26,3,17,good,21,20,spuit 20ml,
27,3,17,good,40.1,25,spuit 60ml,
28,3,17,good,37.2,15,spuit 20ml,
29,3,17,good,36.5,50,grote papfles,
30,3,17,good,37.6,15,spuit 20ml,
31,3,17,good,37.7,70,grote papfles,
32,4,11,good,25.6,40,spuit 60ml,kunstvoeding
33,4,11,good,37.6,5,spuit 20ml,
34,4,11,good,33.1,38,spuit 60ml,
34,4,11,good,38,36,spuit 60ml,
35,4,11,good,38.7,50,spuit 60ml,volume niet zeker
36,4,11,good,42.1,45,spuit 60ml,
37,4,11,good,39.3,37,spuit 60ml,
38,4,11,good,33.8,70,grote papfles,sterilisator
39,4,11,good,36.6,60,spuit 60ml,
40,4,11,good,33,45,speciaal potje,
41,4,11,good,31.3,40,spuit 60ml,
42,5,14,good,41.8,45,spuit 60ml,"""iets te warm"""
43,5,14,good,31.9,50,spuit 60ml,
43,5,14,good,33.3,36,spuit 60ml,
43,5,14,good,28.8,38,spuit 60ml,
44,5,14,good,28.6,16,spuit 20ml,
45,5,14,good,30.5,35,spuit 60ml,
46,5,14,good,30.1,12,spuit 20ml,
47,5,14,good,24,42,spuit 60ml,deze en volgende 2 zijn van zelfde verpleegster
48,5,14,good,15.4,16,spuit 20ml,
48,5,14,good,20.3,12,spuit 20ml,volume niet zeker
49,5,14,good,37.8,55,spuit 60ml,
50,5,14,good,30.1,25,spuit 60ml,
51,5,14,good,31.2,60,spuit 60ml,
52,5,14,good,30,55,grote papfles,
53,5,14,good,35.7,37,spuit 60ml,
54,5,14,good,25.7,10,spuit 20ml,
55,6,17,good,34,55,spuit 60ml,
56,6,17,good,19.9,12,spuit 20ml,volume niet zeker
57,6,17,good,26,50,spuit 60ml,
58,6,17,good,28.5,37,spuit 60ml,
59,6,17,good,25,35,spuit 60ml,
60,6,17,good,26.1,35,spuit 60ml,
61,6,17,good,35.8,60,spuit 60ml,
62,6,17,good,26,12,spuit 60ml,
63,6,17,good,36.7,20,spuit 60ml,
64,6,17,good,43.2,40,spuit 60ml,
65,6,17,good,27.1,40,spuit 60ml,
66,7,11,bad,24.7,8,spuit 10ml,synthetisch
67,7,11,bad,44.5,28,spuit 60ml,De melk is wel te warm
68,7,11,bad,50.2,38,spuit 60ml,Volgens blad in microgolf -> voelde aan als lava
68,7,11,bad,33.2,35,spuit 60ml,
69,7,11,bad,21.3,38,spuit 60ml,
70,7,11,bad,15.8,15,spuit 20ml,
71,7,11,bad,33.8,25,spuit 60ml,
71,7,11,bad,53.3,15,spuit 20ml,
72,8,14,bad,47.3,19,spuit 20ml,
73,8,14,bad,29.5,25,spuit 60ml,
73,8,14,bad,26.6,38,spuit 60ml,
74,8,14,bad,18.3,13,spuit 20ml,
75,8,14,bad,33.5,25,spuit 60ml,
76,8,14,bad,51.2,30,spuit 60ml,
77,8,14,bad,32.7,60,spuit 60ml,
78,8,14,bad,33.8,15,spuit 60ml,
79,8,14,bad,38.6,50,spuit 60ml,
